timestamp,x,y,z
0,6.03,8.32,0.53
10,6.05,8.4,0.33
20,6.04,8.33,0.44
30,6.02,8.23,0.4
40,6.03,8.14,0.37
50,6.02,8.09,0.39
60,5.99,8.1,0.55
70,5.99,8.15,0.55
80,6.01,8.29,0.51
90,6.09,8.53,0.49
100,6.16,8.74,0.61
110,6.24,8.94,0.8
120,6.32,9.06,1.07
130,6.45,9.03,1.44
140,6.68,8.92,2.09
150,6.93,8.55,2.57
160,7.24,8.15,4.15
170,7.47,7.43,5.78
180,7.5,6.43,7.2
190,7.6,5.63,7.52
200,7.57,4.72,7.9
210,7.24,4.12,8.46
220,6.83,3.71,8.58
230,5.92,3.11,8.01
240,4.92,2.83,6.97
250,4.03,2.35,5.53
260,2.64,0.92,4.76
270,1.31,-0.79,2.46
280,0.02,-2.33,-0.68
290,-0.87,-3.38,-4.64
300,-2.67,-3.28,-6.87
310,-3.83,-1.85,-7.44
320,-4.71,0.35,-7.46
330,-5.13,3.49,-8.01
340,-5.33,7.42,-9.86
350,-5.44,11.04,-11.95
360,-5.54,14.84,-13.95
370,-5.27,18.46,-15.42
380,-4.54,20.08,-15.92
390,-4.18,19.89,-16.35
400,-3.68,20.69,-13.61
410,-2.93,21.63,-12.3
420,-3.06,22.39,-10.56
430,-2.89,21.94,-7.21
440,-2.21,21.83,-3.84
450,-1.2,22.76,-0.99
460,-0.29,23.13,1.25
470,0.3,23.06,3.8
480,0.85,23.25,5.91
490,1.29,23.14,7.36
500,1.16,21.99,10.06
510,0.77,18.82,13.83
520,0.93,15.67,18.1
530,2.13,15.76,20.48
540,3.42,16.96,22.44
550,3.76,16.95,24.19
560,3.41,16.31,24.52
570,2.3,15.13,23.22
580,0.77,13.32,20.6
590,-0.88,11.08,17.9
600,-2.11,8.99,15.07
610,-2.86,7.05,12.46
620,-3.3,5.44,10.56
630,-3.53,3.78,8.79
640,-3.69,2.04,7.01
650,-3.66,0.13,5.2
660,-3.53,-1.42,3.84
670,-3.12,-2.36,2.23
680,-2.63,-2.59,0.36
690,-2.26,-2.56,-1.54
700,-1.97,-2.49,-3.17
710,-1.83,-2.47,-5.13
720,-1.74,-2.32,-7.54
730,-1.57,-1.82,-9.55
740,-1.25,-0.65,-10.92
750,-0.7,1.69,-12.05
760,0.13,4.8,-12.95
770,0.77,7.42,-13.44
780,1.19,8.69,-12.67
790,1.68,9.42,-11.33
800,2.45,10.32,-10.54
810,3.27,11.13,-10.1
820,4.03,11.63,-8.92
830,4.65,12.04,-7.17
840,5.16,12.45,-5.09
850,5.51,12.67,-3.3
860,5.62,12.52,-2.13
870,5.38,11.9,-1.95
880,4.93,11.12,-2.42
890,4.25,10.27,-2.81
900,3.5,9.24,-3.52
910,2.89,8.48,-4.01
920,2.64,8.35,-4.16
930,2.73,8.71,-3.92
940,2.8,8.74,-3.3
950,2.83,8.65,-2.92
960,2.89,8.68,-2.88
970,2.93,8.79,-2.76
980,3.02,8.71,-2.54
990,3.16,8.71,-2.36
1000,3.33,8.9,-2.12
