timestamp,x,y,z
0,6.19,7.54,-1.26
10,6.09,7.34,-1.41
20,6.03,7.22,-1.56
30,5.96,7.09,-1.61
40,5.91,7.02,-1.57
50,5.96,7.12,-1.57
60,6.02,7.27,-1.55
70,6.05,7.42,-1.6
80,6.05,7.48,-1.89
90,6.05,7.4,-1.95
100,6.0,7.25,-1.94
110,5.93,7.12,-1.98
120,5.92,7.25,-1.79
130,6.02,7.66,-1.7
140,6.12,8.02,-1.57
150,6.15,8.28,-1.55
160,6.18,8.3,-1.5
170,6.13,8.17,-1.48
180,6.1,7.92,-1.57
190,6.12,7.87,-1.54
200,6.16,7.94,-1.26
210,6.23,8.03,-1.04
220,6.28,8.13,-0.82
230,6.28,8.26,-0.66
240,6.26,8.36,-0.71
250,6.19,8.28,-0.66
260,6.18,8.34,-0.42
270,6.24,8.49,-0.15
280,6.37,8.62,0.34
290,6.53,8.73,0.89
300,6.81,8.69,1.58
310,7.09,8.78,2.6
320,7.31,9.05,3.74
330,7.58,9.28,4.82
340,7.87,9.5,6.08
350,8.35,9.7,7.68
360,8.61,10.14,9.87
370,8.76,11.01,11.44
380,8.54,11.97,11.69
390,8.2,12.85,11.07
400,7.7,13.85,10.39
410,6.64,13.46,9.92
420,5.29,11.94,8.5
430,3.71,10.0,5.86
440,2.24,8.21,2.02
450,1.04,6.7,-1.7
460,-0.05,4.94,-4.62
470,-1.26,2.54,-6.76
480,-2.72,-0.54,-9.06
490,-4.2,-3.45,-12.06
500,-5.55,-5.48,-15.76
510,-6.54,-6.54,-19.85
520,-7.02,-6.2,-23.77
530,-6.98,-5.42,-26.12
540,-7.65,-3.93,-26.97
550,-7.1,-3.85,-25.92
560,-6.52,-4.7,-23.78
570,-6.02,-4.72,-21.74
580,-4.05,-1.77,-16.58
590,-3.02,1.0,-13.08
600,-2.73,4.53,-11.81
610,-1.88,7.04,-10.64
620,-1.53,9.16,-8.82
630,-0.8,11.88,-6.55
640,0.58,14.2,-2.21
650,1.82,16.06,2.09
660,2.65,16.45,5.3
670,3.4,15.97,7.74
680,3.93,15.23,9.57
690,4.48,15.25,11.53
700,4.86,16.13,13.2
710,4.89,17.43,14.25
720,4.62,18.31,14.67
730,4.13,19.14,14.45
740,3.72,19.53,13.78
750,3.18,19.6,12.48
760,2.79,19.61,10.7
770,2.4,18.82,9.73
780,2.46,18.14,9.29
790,1.87,19.1,8.05
800,2.35,19.42,7.92
810,2.31,19.42,8.47
820,2.79,18.43,8.5
830,1.62,18.41,6.58
840,1.71,16.91,6.23
850,1.28,15.34,6.59
860,0.43,13.76,6.39
870,-0.87,11.92,4.59
880,-2.0,9.98,2.68
890,-2.94,8.41,0.9
900,-3.78,6.65,-1.18
910,-4.55,5.03,-3.25
920,-5.39,3.53,-4.81
930,-6.21,2.7,-7.42
940,-6.98,1.93,-9.99
950,-7.49,1.01,-12.21
960,-7.6,0.17,-14.71
970,-7.45,-0.56,-16.41
980,-7.0,-1.34,-17.4
990,-6.36,-1.5,-17.23
1000,-5.96,-1.06,-16.65
